Generating SQLite file /opt/FreeToken/evidence/x299/04b/raw/decode_eager.sqlite from /opt/FreeToken/evidence/x299/04b/raw/decode_eager.nsys-rep
Processing [/opt/FreeToken/evidence/x299/04b/raw/decode_eager.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

+----------+-----------------+-----------+-------------+-------------+-----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances |  Avg (ns)   |  Med (ns)   | Min (ns)  | Max (ns)  | StdDev (ns) |                                                 Name                                                 |
+----------+-----------------+-----------+-------------+-------------+-----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
|     63.6 |  16,235,519,091 |    23,377 |   694,508.2 |   676,339.0 |     1,375 | 2,437,743 |   523,280.6 | void fast_index_copy_multi<int, (unsigned long)1024, (unsigned long)8>(MultiIndexCopyParams)         |
|      9.7 |   2,489,839,955 |    23,973 |   103,860.2 |   108,734.0 |     8,960 |   117,885 |    10,493.9 | ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn                                            |
|      6.9 |   1,770,114,080 |    71,106 |    24,894.0 |    12,896.0 |    11,968 |   226,587 |    17,311.4 | void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par… |
|      5.1 |   1,290,224,860 |    46,754 |    27,596.0 |    28,960.0 |    17,440 |   318,682 |     9,740.3 | _decode_nvfp4_marlin_kernel                                                                          |
|      2.7 |     701,024,357 |       489 | 1,433,587.6 | 1,432,291.0 | 1,431,203 | 1,728,061 |    18,816.8 | void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (int)128, (int… |
|      2.0 |     509,779,131 |    47,241 |    10,791.0 |    10,752.0 |    10,336 |   235,547 |     1,045.3 | void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Par… |
|      1.6 |     397,176,967 |    52,598 |     7,551.2 |     6,208.0 |     5,312 |    10,879 |     2,039.1 | std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n… |
|      1.2 |     316,322,564 |       192 | 1,647,513.4 | 1,437,347.5 |   391,224 | 4,256,585 |   869,544.8 | _prefill_nvfp4_moe_kernel                                                                            |
|      0.9 |     217,312,177 |    23,474 |     9,257.6 |     9,184.0 |     8,735 |    17,631 |       517.0 | void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Param… |
|      0.7 |     170,164,397 |    17,533 |     9,705.4 |     9,728.0 |     9,151 |    11,168 |       192.6 | fused_sigmoid_gating_delta_rule_update_kernel                                                        |
|      0.6 |     157,150,949 |    23,377 |     6,722.5 |     6,783.0 |     1,759 |    16,448 |     2,651.2 | _lru_ensure_kernel                                                                                   |
|      0.5 |     137,159,598 |    71,493 |     1,918.5 |     1,984.0 |     1,535 |     5,376 |       220.2 | void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv… |
|      0.4 |     113,693,249 |    23,473 |     4,843.6 |     4,832.0 |     4,511 |     5,824 |        94.1 | _router_triton_kernel                                                                                |
|      0.3 |      81,687,683 |    47,435 |     1,722.1 |     1,696.0 |     1,472 |     4,800 |       184.4 | _hc_gate_mix_kernel                                                                                  |
|      0.3 |      81,116,909 |    48,905 |     1,658.7 |     1,632.0 |     1,536 |     5,407 |       110.9 | _grouped_gemma_rmsnorm_kernel                                                                        |
|      0.3 |      77,144,256 |    46,946 |     1,643.3 |     1,728.0 |     1,279 |     5,375 |       347.1 | void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &silu>(T1 *, const T1 *, int)         |
|      0.3 |      76,077,876 |    46,946 |     1,620.5 |     1,696.0 |     1,407 |     6,400 |       220.2 | _hc_combine_kernel                                                                                   |
|      0.3 |      64,789,881 |    47,435 |     1,365.9 |     1,344.0 |     1,119 |     2,239 |       123.5 | _hc_silu_kernel                                                                                      |
|      0.2 |      63,585,795 |    23,473 |     2,708.9 |     2,720.0 |     1,920 |     8,352 |       328.3 | moe_sum_reduce_kernel                                                                                |
