1695 MHz, 9501 MHz, 37, 123.59 W, 0 %
2010 MHz, 9501 MHz, 44, 204.67 W, 82 %
2010 MHz, 9501 MHz, 50, 332.55 W, 100 %
1980 MHz, 9501 MHz, 52, 338.73 W, 100 %
1980 MHz, 9501 MHz, 51, 335.60 W, 100 %
1920 MHz, 9501 MHz, 49, 340.38 W, 100 %
2010 MHz, 9501 MHz, 51, 339.76 W, 100 %
1995 MHz, 9501 MHz, 51, 336.40 W, 100 %
1995 MHz, 9501 MHz, 52, 338.11 W, 100 %
1965 MHz, 9501 MHz, 51, 253.92 W, 100 %
2010 MHz, 9501 MHz, 53, 339.45 W, 100 %
1995 MHz, 9501 MHz, 53, 337.47 W, 100 %
1980 MHz, 9501 MHz, 54, 337.98 W, 100 %
1935 MHz, 9501 MHz, 53, 270.62 W, 100 %
2025 MHz, 9501 MHz, 54, 339.24 W, 100 %
1920 MHz, 9501 MHz, 55, 340.12 W, 100 %
1965 MHz, 9501 MHz, 56, 338.13 W, 100 %
2010 MHz, 9501 MHz, 54, 266.45 W, 100 %
2010 MHz, 9501 MHz, 55, 336.78 W, 100 %
2025 MHz, 9501 MHz, 57, 321.86 W, 100 %
1950 MHz, 9501 MHz, 56, 340.11 W, 100 %
2025 MHz, 9501 MHz, 56, 276.50 W, 100 %
1875 MHz, 9501 MHz, 57, 334.53 W, 100 %
1875 MHz, 9501 MHz, 57, 338.90 W, 100 %
1875 MHz, 9501 MHz, 58, 339.23 W, 100 %
2010 MHz, 9501 MHz, 57, 301.45 W, 100 %
1965 MHz, 9501 MHz, 58, 339.02 W, 100 %
1950 MHz, 9501 MHz, 59, 338.86 W, 100 %
1890 MHz, 9501 MHz, 59, 340.04 W, 100 %
1980 MHz, 9501 MHz, 57, 240.27 W, 100 %
1965 MHz, 9501 MHz, 60, 339.97 W, 100 %
1995 MHz, 9501 MHz, 60, 336.83 W, 100 %
1995 MHz, 9501 MHz, 60, 337.30 W, 100 %
1950 MHz, 9501 MHz, 55, 261.61 W, 100 %
1875 MHz, 9501 MHz, 60, 339.26 W, 100 %
1980 MHz, 9501 MHz, 61, 339.17 W, 100 %
1995 MHz, 9501 MHz, 61, 348.00 W, 100 %
2010 MHz, 9501 MHz, 58, 280.69 W, 100 %
1965 MHz, 9501 MHz, 60, 337.59 W, 100 %
